sample_type,N_rate,P_rate,K_rate,Zn_rate,global_warming,freshwater_eutrophication,terrestrial_acidification,terrestrial_ecotoxicity
OAT_N,140.1924,50.0,35.0,20.0,5157.542318924476,0.4018971652033602,23.995621589786445,13605.52868385503
OAT_N,142.1203,50.0,35.0,20.0,5169.820358946091,0.40472828677345346,24.28292634260386,13615.528209556978
OAT_N,142.7323,50.0,35.0,20.0,5173.7179472511,0.40562700890680947,24.37412946969773,13618.702497502203
OAT_N,123.1199,50.0,35.0,20.0,5048.814253013888,0.37682619523322824,21.45139710071781,13516.977979696854
OAT_N,140.8317,50.0,35.0,20.0,5161.613770237208,0.40283597739266486,24.09089309166734,13608.844569938985
OAT_N,147.0393,50.0,35.0,20.0,5201.147543378024,0.4119518393453135,25.01597892785668,13641.04180825394
OAT_N,140.4994,50.0,35.0,20.0,5159.497481685323,0.4023479947702561,24.04137217805085,13607.121014572644
OAT_N,122.2009,50.0,35.0,20.0,5042.961501948032,0.3754766435329764,21.31444338535954,13512.21136103401
OAT_N,139.0408,50.0,35.0,20.0,5150.208229558381,0.4002060403524243,23.824004725143805,13599.555628303191
OAT_N,135.1165,50.0,35.0,20.0,5125.215899843758,0.39444320494731144,23.239187026362025,13579.201284866216
OAT_N,145.0671,50.0,35.0,20.0,5188.58737400688,0.4090556632155671,24.72207238005518,13630.812509748128
OAT_N,123.9685,50.0,35.0,20.0,5054.218654052502,0.37807236451813997,21.57785947596594,13521.379451511093
OAT_N,141.4909,50.0,35.0,20.0,5165.811956855939,0.403804012736306,24.189130185425963,13612.263672248613
OAT_N,121.0487,50.0,35.0,20.0,5035.623591416933,0.37378463758190966,21.14273710588642,13506.23519343518
OAT_N,121.0789,50.0,35.0,20.0,5035.815923388849,0.3738289862884903,21.147237652354125,13506.391833134438
OAT_N,148.2257,50.0,35.0,20.0,5208.703260314402,0.41369406800383235,25.192781852667398,13647.195362532077
OAT_N,136.5883,50.0,35.0,20.0,5134.589217600806,0.3966045435680196,23.458521605539723,13586.835136169773
OAT_N,125.3934,50.0,35.0,20.0,5063.293284078331,0.3801648304786286,21.790204795894127,13528.77004447375
OAT_N,138.6961,50.0,35.0,20.0,5148.01297026306,0.3996998483273134,23.772635905030643,13597.76775729875
OAT_N,138.1596,50.0,35.0,20.0,5144.596211887834,0.39891199796040905,23.69268414410604,13594.98506860168
OAT_N,130.6705,50.0,35.0,20.0,5096.901067157363,0.3879142529785191,22.576623132474243,13556.141016558275
OAT_N,138.9407,50.0,35.0,20.0,5149.570731863396,0.4000590434806123,23.809087350924703,13599.03643512785
OAT_N,127.833,50.0,35.0,20.0,5078.830140988302,0.3837473836102222,22.1537654966428,13541.42362759657
OAT_N,136.9982,50.0,35.0,20.0,5137.199710159995,0.39720648180733764,23.519606837232157,13588.961182948777
OAT_N,146.3245,50.0,35.0,20.0,5196.595262135507,0.4109021553895571,24.909456059806526,13637.334322921855
OAT_N,140.2547,50.0,35.0,20.0,5157.939083224152,0.40198865276693546,24.004905829685057,13605.851818069057
OAT_N,145.6815,50.0,35.0,20.0,5192.50024697191,0.40995790974944607,24.81363316647098,13633.999245881369
OAT_N,142.027,50.0,35.0,20.0,5169.226167787828,0.40459127570312325,24.269022336463582,13615.044286247688
OAT_N,132.8553,50.0,35.0,20.0,5110.8152026619155,0.39112263225459143,22.902212335210635,13567.473017052915
OAT_N,146.8878,50.0,35.0,20.0,5200.182699214283,0.4117293615623013,24.993401683159416,13640.25601638516
OAT_N,145.3907,50.0,35.0,20.0,5190.648255666196,0.4095308698860802,24.770296778629646,13632.490940432881
OAT_N,133.7905,50.0,35.0,20.0,5116.771125182904,0.3924959736583734,23.041580250991984,13572.3236609849
OAT_N,146.7727,50.0,35.0,20.0,5199.449672394175,0.41156033718722074,24.976248938178202,13639.659022034679
OAT_N,124.3279,50.0,35.0,20.0,5056.507531890443,0.3786001434964539,21.631418959425964,13523.243567667148
OAT_N,120.777,50.0,35.0,20.0,5033.893240530542,0.37338564607270575,21.102247090148833,13504.825954816371
OAT_N,120.317,50.0,35.0,20.0,5030.963680693443,0.37271013597247077,21.03369572011096,13502.440052112437
OAT_N,127.7828,50.0,35.0,20.0,5078.510436849559,0.3836736648992836,22.146284455825626,13541.163252997136
OAT_N,135.7667,50.0,35.0,20.0,5129.356768987414,0.3953980237889913,23.336082897663374,13582.573706470761
OAT_N,137.3798,50.0,35.0,20.0,5139.629971103118,0.397766861490489,23.5764746694201,13590.940444844024
OAT_N,127.1031,50.0,35.0,20.0,5074.181693759828,0.38267552530117555,22.044992355358797,13537.637822414836
OAT_N,143.9114,50.0,35.0,20.0,5181.227173346587,0.40735851751373775,24.549844514070895,13624.818188541758
OAT_N,138.2528,50.0,35.0,20.0,5145.1897661852645,0.39904886218071756,23.70657324777459,13595.468473236479
OAT_N,122.8904,50.0,35.0,20.0,5047.35265739951,0.37648917443321983,21.417195928057613,13515.787621717385
OAT_N,125.6086,50.0,35.0,20.0,5064.663808593425,0.38048085172552093,21.822274915094447,13529.88623199958
OAT_N,124.2198,50.0,35.0,20.0,5055.819085328724,0.3784413986228987,21.615309387467065,13522.682880531738
OAT_N,131.7759,50.0,35.0,20.0,5103.940926818078,0.3895375331193881,22.741355055169596,13561.874444490706
OAT_N,147.9104,50.0,35.0,20.0,5206.69523810432,0.4132310498851279,25.145794359247965,13645.559981830887
OAT_N,127.7481,50.0,35.0,20.0,5078.2894461401065,0.3836227079417223,22.141113298129294,13540.983272945341
OAT_N,125.3215,50.0,35.0,20.0,5062.835381138577,0.38005924531296137,21.779489918707764,13528.39711750764
OAT_N,140.7079,50.0,35.0,20.0,5160.825336524529,0.4026541770656886,24.072443831644105,13608.202450906922
