sample_type,N_rate,P_rate,K_rate,Zn_rate,global_warming,freshwater_eutrophication,terrestrial_acidification,terrestrial_ecotoxicity
OAT_N,149.7782,50,30,20,5216.649236,0.412580407,26.67139777,13641.89197
OAT_N,124.2129,50,30,20,5089.739653,0.375037758,26.12034495,13509.29128
OAT_N,147.9985,50,30,20,5207.814567,0.409966917,26.63303683,13632.66112
OAT_N,128.2661,50,30,20,5109.860282,0.380989884,26.20771053,13530.31419
OAT_N,135.5507,50,30,20,5146.022015,0.39168732,26.36472802,13568.09755
OAT_N,146.2611,50,30,20,5199.18988,0.407415545,26.59558767,13623.64967
OAT_N,134.3309,50,30,20,5139.966764,0.389896044,26.33843558,13561.77076
OAT_N,133.5941,50,30,20,5136.30919,0.388814053,26.32255406,13557.94917
OAT_N,143.9604,50,30,20,5187.768896,0.404036967,26.54599673,13611.71652
OAT_N,147.2234,50,30,20,5203.966866,0.408828683,26.61632977,13628.64087
OAT_N,132.9032,50,30,20,5132.879469,0.387799466,26.30766191,13554.36565
OAT_N,134.0916,50,30,20,5138.778847,0.389544632,26.33327753,13560.52957
OAT_N,139.4036,50,30,20,5165.148328,0.397345305,26.44777619,13588.08156
OAT_N,138.5007,50,30,20,5160.666211,0.396019396,26.42831444,13583.39845
OAT_N,144.1642,50,30,20,5188.780586,0.404336247,26.55038958,13612.77358
OAT_N,142.7144,50,30,20,5181.583584,0.402207215,26.51913955,13605.25384
OAT_N,143.2007,50,30,20,5183.997643,0.402921347,26.52962161,13607.77615
OAT_N,139.8014,50,30,20,5167.123061,0.397929474,26.45635066,13590.14485
OAT_N,120.4277,50,30,20,5070.949411,0.369479191,26.03875603,13489.65841
OAT_N,126.2306,50,30,20,5099.755787,0.378000751,26.1638359,13519.75657
OAT_N,130.9081,50,30,20,5122.975525,0.384869661,26.26465809,13544.01757
OAT_N,123.5739,50,30,20,5086.567571,0.374099387,26.10657148,13505.97695
OAT_N,146.1556,50,30,20,5198.666163,0.407260618,26.59331365,13623.10246
OAT_N,121.8406,50,30,20,5077.963237,0.371554035,26.06921069,13496.98676
OAT_N,138.4697,50,30,20,5160.512323,0.395973872,26.42764624,13583.23766
OAT_N,121.9331,50,30,20,5078.422419,0.371689872,26.0712045,13497.46653
OAT_N,148.771,50,30,20,5211.64936,0.411101334,26.64968785,13636.66788
OAT_N,141.7699,50,30,20,5176.894959,0.400820217,26.49878112,13600.35496
OAT_N,143.3801,50,30,20,5184.888208,0.403184796,26.53348853,13608.70665
OAT_N,137.7904,50,30,20,5157.140187,0.39497632,26.41300412,13579.71431
OAT_N,148.8821,50,30,20,5212.200876,0.411264484,26.65208258,13637.24413
OAT_N,126.1228,50,30,20,5099.220653,0.377842447,26.1615123,13519.19744
OAT_N,123.7525,50,30,20,5087.454165,0.374361661,26.11042115,13506.9033
OAT_N,125.9121,50,30,20,5098.17471,0.377533034,26.15697072,13518.10459
OAT_N,146.6118,50,30,20,5200.930801,0.407930548,26.60314691,13625.46866
OAT_N,146.8101,50,30,20,5201.915189,0.408221752,26.60742121,13626.49719
OAT_N,123.5161,50,30,20,5086.280644,0.374014508,26.10532562,13505.67715
OAT_N,124.6661,50,30,20,5091.989398,0.375703283,26.13011354,13511.64191
